WEIGHT,STATUS,FINALDEST,FOOTINGS,LEASE,REGION,PIERS,SECURED,TITLED,SECTIONS,PRICE,SQFT,BEDROOMS,LOCATION,SHIPMONTH,WGTADJ,CONTROL,jstatus,jprice,jsqft,jbedroom,jlease,jfinaldest,jtitle,jsecured,jlocation,jfootings,jpiers
64.3714,2,1,3,2,3,1,1,2,1,72000,1300,3,3,202101,0.9585,21010001,I,I,I,I,I,I,I,I,I,I,I
18.0105,2,1,3,2,4,1,1,2,1,54000,670,1,1,202101,0.9585,21010002,R,R,R,R,R,R,R,R,R,R,R
18.0105,2,1,3,2,4,3,1,2,1,70000,1200,3,1,202101,0.9585,21010003,I,I,I,I,I,I,I,I,I,I,I
18.0105,1,1,3,2,4,1,1,2,1,72000,750,1,1,202101,0.9585,21010004,R,R,R,R,R,R,R,R,R,R,R
18.0105,2,1,4,2,4,3,1,2,1,53000,750,1,1,202101,0.9585,21010005,I,I,I,I,I,I,I,I,I,I,I
18.0105,2,1,3,2,4,1,1,2,1,43900,570,1,3,202101,0.9585,21010006,R,R,R,R,R,R,R,R,R,R,R
18.0105,2,1,4,2,4,3,1,3,1,61000,650,1,1,202101,0.9585,21010007,R,R,R,R,R,R,R,R,R,R,R
64.3714,2,1,4,2,3,1,1,2,1,66000,930,3,1,202101,0.9585,21010008,R,R,R,R,R,R,R,R,R,R,R
64.3714,2,1,3,2,3,1,1,1,1,74000,960,1,3,202101,0.9585,21010009,R,R,R,R,R,R,R,I,I,I,I
64.3714,2,1,3,2,3,1,1,2,1,80000,670,1,1,202101,0.9585,21010010,R,R,R,R,R,R,R,R,R,R,R
64.3714,1,1,4,1,3,1,1,2,1,9,1000,3,1,202101,0.9585,21010011,R,9,R,R,R,R,R,R,R,R,R
14.6364,2,1,3,2,2,1,1,2,1,64000,1100,3,1,202101,0.9585,21010012,I,I,I,I,I,I,I,I,I,I,I
14.6364,2,1,3,2,2,1,1,2,1,75000,1200,3,1,202101,0.9585,21010013,R,R,R,R,R,R,R,R,R,R,R
14.6364,1,1,3,2,2,1,1,2,1,54000,770,1,1,202101,0.9585,21010014,I,I,I,I,I,I,I,I,I,I,I
14.6364,2,1,5,2,2,1,1,2,1,62000,1100,3,1,202101,0.9585,21010015,R,R,R,R,R,R,R,I,R,I,I
14.6364,1,1,3,2,2,1,2,1,1,64000,1100,3,1,202101,0.9585,21010016,I,I,I,I,I,I,I,I,I,I,I
14.6364,2,1,3,2,2,1,1,2,1,64000,1100,3,1,202101,0.9585,21010017,R,I,I,I,I,R,I,I,I,I,I
14.6364,2,1,3,2,2,1,1,2,1,64000,1100,3,1,202101,0.9585,21010018,I,I,I,I,I,I,I,I,I,I,I
14.6364,1,1,3,2,2,1,1,1,1,72000,1300,3,1,202101,0.9585,21010019,I,I,I,I,I,I,I,I,I,I,I
14.6364,2,1,3,2,2,1,1,2,1,64000,1100,3,1,202101,0.9585,21010020,I,I,I,I,I,I,I,I,I,I,I
14.6364,2,1,3,2,2,1,1,2,1,60000,1000,1,1,202101,0.9585,21010021,R,R,R,R,R,R,R,R,R,R,R
14.6364,2,1,3,2,2,1,1,2,1,58000,900,1,1,202101,0.9585,21010022,I,I,I,I,I,I,I,I,I,I,I
14.6364,1,1,3,1,2,1,1,2,1,9,1300,3,1,202101,0.9585,21010023,I,9,I,I,I,I,I,I,I,I,I
14.6364,2,1,3,2,2,1,2,2,1,52000,1100,3,1,202101,0.9585,21010024,R,R,R,R,R,R,I,R,R,R,R
14.6364,1,1,3,2,2,1,1,2,1,66000,1100,3,1,202101,0.9585,21010025,I,I,I,I,I,I,I,I,I,I,I
14.6364,2,1,3,2,2,1,2,1,1,52000,780,1,3,202101,0.9585,21010026,R,R,R,R,R,R,R,R,R,R,R
14.6364,2,1,3,2,2,1,1,2,1,76000,1100,3,1,202101,0.9585,21010027,R,R,R,R,R,R,R,R,R,R,R
14.6364,2,1,3,2,2,1,2,2,1,70000,1200,3,1,202101,0.9585,21010028,I,I,I,I,I,I,I,I,I,I,I
14.6364,2,1,3,2,2,1,1,2,1,72000,1300,3,1,202101,0.9585,21010029,I,I,I,I,I,I,I,I,I,I,I
14.6364,2,1,3,1,2,1,1,2,1,9,1100,3,1,202101,0.9585,21010030,R,9,R,R,R,R,I,I,R,I,I
64.3714,2,1,3,2,3,1,1,1,1,66000,1100,3,1,202101,0.9585,21010031,I,I,I,I,I,I,I,I,I,I,I
64.3714,2,1,3,2,3,1,1,2,1,70000,1200,3,3,202101,0.9585,21010032,R,I,R,R,R,R,I,I,I,I,I
64.3714,2,1,5,2,3,1,1,2,1,73000,1200,3,3,202101,0.9585,21010033,R,R,R,R,R,R,R,R,R,R,R
64.3714,2,1,3,2,3,1,1,2,1,69000,1300,3,1,202101,0.9585,21010034,R,R,R,R,R,R,R,R,R,R,R
64.3714,2,1,3,2,3,1,1,1,1,62000,1400,3,1,202101,0.9585,21010035,R,R,R,R,R,R,R,R,R,R,R
64.3714,2,1,3,2,3,1,1,2,1,70000,1300,3,1,202101,0.9585,21010036,R,R,R,R,R,R,R,R,R,R,R
64.3714,2,1,3,2,3,1,1,2,1,50000,1300,3,1,202101,0.9585,21010037,R,R,R,R,R,R,R,R,R,R,R
14.6364,2,1,5,2,2,1,1,2,1,64000,1100,3,1,202101,0.9585,21010038,I,I,I,I,I,I,I,I,I,I,I
14.6364,2,1,3,2,2,1,1,2,1,64000,1100,3,1,202101,0.9585,21010039,R,I,I,I,I,R,I,I,R,I,I
14.6364,2,1,3,2,2,1,1,2,1,64000,1100,3,1,202101,0.9585,21010040,I,I,I,I,I,I,I,I,I,I,I
14.6364,1,1,3,2,2,1,1,3,1,43600,1100,3,1,202101,0.9585,21010041,R,R,R,R,R,R,R,R,R,R,R
14.6364,1,1,3,2,2,1,1,2,1,63000,1000,1,1,202101,0.9585,21010042,I,I,I,I,I,I,I,I,I,I,I
14.6364,2,1,3,2,2,1,1,2,1,70000,1000,1,1,202101,0.9585,21010043,R,R,R,R,R,R,R,R,R,R,R
18.0105,2,1,3,2,4,2,1,2,1,70000,1200,3,1,202101,0.9585,21010044,I,I,I,I,I,I,I,I,I,I,I
18.0105,2,1,5,2,4,1,2,1,1,49000,570,1,3,202101,0.9585,21010045,I,I,I,I,I,I,I,I,I,I,I
10.6333,2,1,3,2,1,1,1,2,1,64000,1100,1,3,202101,0.9585,21010046,I,I,I,I,I,I,I,I,I,I,I
64.3714,2,1,3,2,3,1,1,2,1,60000,960,1,3,202101,0.9585,21010047,I,I,I,I,I,I,I,I,I,I,I
14.6364,1,1,3,2,2,1,1,2,1,54000,1000,1,1,202101,0.9585,21010048,R,R,R,R,R,R,I,R,R,R,R
14.6364,1,1,3,2,2,1,1,1,1,54000,1100,3,1,202101,0.9585,21010049,R,R,R,R,R,R,I,R,R,R,R
14.6364,2,1,3,2,2,1,1,2,1,67000,1200,3,1,202101,0.9585,21010050,I,I,I,I,I,I,I,I,I,I,I
14.6364,1,1,3,2,2,1,1,2,1,63000,1000,1,1,202101,0.9585,21010051,I,I,I,I,I,I,I,I,I,I,I
14.6364,2,1,3,1,2,1,1,2,1,9,840,3,1,202101,0.9585,21010052,R,9,R,R,R,R,R,R,R,R,R
14.6364,1,1,3,2,2,1,1,1,1,43600,770,1,1,202101,0.9585,21010053,R,R,R,R,R,R,R,R,R,R,R
64.3714,1,1,3,1,3,1,1,2,1,9,1200,3,3,202101,0.9585,21010054,R,9,R,R,R,R,R,R,R,R,R
64.3714,2,1,3,2,3,1,1,2,1,65000,1200,3,3,202101,0.9585,21010055,R,R,R,R,R,R,R,R,R,R,R
64.3714,2,1,3,2,3,1,1,2,1,72000,1300,3,1,202101,0.9585,21010056,I,I,I,I,I,I,I,I,I,I,I
18.0105,2,1,3,2,4,1,1,2,1,60000,730,1,1,202101,0.9585,21010057,R,R,R,R,R,R,I,I,I,I,I
10.6333,1,1,3,1,1,1,1,2,1,9,980,3,1,202101,0.9585,21010058,R,9,I,I,I,I,I,I,I,I,I
10.6333,2,1,5,2,1,1,1,2,1,72000,1200,3,1,202101,0.9585,21010059,I,I,I,I,I,I,I,I,I,I,I
10.6333,2,1,3,2,1,1,1,2,1,75000,920,3,1,202101,0.9585,21010060,R,R,R,R,R,R,R,R,R,R,R
10.6333,2,1,3,2,1,1,1,1,1,83000,1200,3,1,202101,0.9585,21010061,R,R,R,R,R,R,R,R,R,R,R
